DECLARANT_ISO,PARTNER_ISO,FLOW,PRODUCT,PERIOD,VALUE_IN_EUROS
AT,AU,1,139,201912,480
AT,AU,1,141,201912,45846
AT,AU,1,142,201912,2573
AT,AU,1,143,201912,2844
AT,AU,1,151,201912,27356
AT,AU,1,152,201912,4105
AT,AU,1,162,201912,133
AT,AU,1,172,201912,5180
AT,AU,1,201,201912,4030
AT,AU,1,203,201912,30877
AT,AU,1,204,201912,1826
AT,AU,1,205,201912,2111
AT,AU,1,211,201912,762
AT,AU,1,221,201912,1738
AT,AU,1,222,201912,25255
AT,AU,1,231,201912,441
AT,AU,1,234,201912,807
AT,AU,1,239,201912,263
AT,AU,1,244,201912,154333
AT,AU,1,257,201912,19715
AT,AU,1,259,201912,5536
AT,AU,1,261,201912,80579
AT,AU,1,262,201912,41621
AT,AU,1,263,201912,127078
AT,AU,1,264,201912,150470
AT,AU,1,265,201912,108847
AT,AU,1,266,201912,15172
AT,AU,1,267,201912,154922
AT,AU,1,271,201912,118451
AT,AU,1,272,201912,889
AT,AU,1,273,201912,6467
AT,AU,1,274,201912,33085
AT,AU,1,279,201912,97359
AT,AU,1,281,201912,201163
AT,AU,1,282,201912,10704
AT,AU,1,284,201912,65798
AT,AU,1,289,201912,120149
AT,AU,1,293,201912,7374
AT,AU,1,303,201912,8027
AT,AU,1,309,201912,1738
AT,AU,1,310,201912,1
AT,AU,1,321,201912,202196
AT,AU,1,322,201912,2381
AT,AU,1,323,201912,8627
AT,AU,1,324,201912,149121
AT,AU,1,325,201912,54396
AT,AU,1,329,201912,5040
AT,AU,2,012,201912,999
AT,AU,2,089,201912,53
AT,AU,2,103,201912,12551
AT,AU,2,104,201912,116950
AT,AU,2,105,201912,3027085
AT,AU,2,106,201912,21380
AT,AU,2,107,201912,21914
AT,AU,2,108,201912,202437
AT,AU,2,109,201912,486105
AT,AU,2,110,201912,3138503
AT,AU,2,131,201912,186743
AT,AU,2,132,201912,65034
AT,AU,2,139,201912,157278
AT,AU,2,141,201912,205366
AT,AU,2,143,201912,7676
AT,AU,2,151,201912,11775
AT,AU,2,152,201912,103923
AT,AU,2,161,201912,1683166
AT,AU,2,162,201912,1862940
AT,AU,2,171,201912,1622882
AT,AU,2,172,201912,147514
AT,AU,2,192,201912,512
AT,AU,2,201,201912,486425
AT,AU,2,202,201912,85964
AT,AU,2,203,201912,124253
AT,AU,2,204,201912,384121
AT,AU,2,205,201912,522964
AT,AU,2,212,201912,4113590
AT,AU,2,221,201912,73772
AT,AU,2,222,201912,1270188
AT,AU,2,231,201912,352830
AT,AU,2,232,201912,1070316
AT,AU,2,234,201912,9101
AT,AU,2,239,201912,320864
AT,AU,2,241,201912,393637
AT,AU,2,242,201912,18946
AT,AU,2,243,201912,18631
AT,AU,2,244,201912,170277
AT,AU,2,245,201912,179791
AT,AU,2,251,201912,507346
AT,AU,2,252,201912,301083
AT,AU,2,257,201912,4833468
AT,AU,2,259,201912,774639
AT,AU,2,25S,201912,31031
AT,AU,2,261,201912,155253
AT,AU,2,262,201912,250656
AT,AU,2,263,201912,292869
AT,AU,2,264,201912,244040
AT,AU,2,265,201912,1085728
AT,AU,2,266,201912,147562
AT,AU,2,267,201912,192203
AT,AU,2,268,201912,1188
AT,AU,2,271,201912,1926604
AT,AU,2,272,201912,10199
AT,AU,2,273,201912,161192
AT,AU,2,274,201912,571832
AT,AU,2,275,201912,99294
AT,AU,2,279,201912,10169195
AT,AU,2,281,201912,1110516
AT,AU,2,282,201912,4329383
AT,AU,2,283,201912,2028105
AT,AU,2,284,201912,1075512
AT,AU,2,289,201912,5555598
AT,AU,2,291,201912,14058727
AT,AU,2,292,201912,1057
AT,AU,2,293,201912,315641
AT,AU,2,302,201912,302701
AT,AU,2,303,201912,30731
AT,AU,2,309,201912,3839144
AT,AU,2,310,201912,268813
AT,AU,2,321,201912,100611
AT,AU,2,322,201912,610
AT,AU,2,323,201912,32245
AT,AU,2,324,201912,367071
AT,AU,2,325,201912,909151
AT,AU,2,329,201912,65039
AT,AZ,2,104,201912,54
AT,AZ,2,108,201912,55708
AT,AZ,2,110,201912,35318
AT,AZ,2,139,201912,4705
AT,AZ,2,141,201912,2564
AT,AZ,2,143,201912,1753
AT,AZ,2,151,201912,1025
AT,AZ,2,152,201912,460
AT,AZ,2,172,201912,163
AT,AZ,2,201,201912,4291
AT,AZ,2,204,201912,3300
AT,AZ,2,205,201912,90624
AT,AZ,2,211,201912,3
AT,AZ,2,212,201912,1198853
AT,AZ,2,221,201912,3698
AT,AZ,2,222,201912,53272
AT,AZ,2,231,201912,79
AT,AZ,2,232,201912,85637
AT,AZ,2,251,201912,758
AT,AZ,2,257,201912,44110
AT,AZ,2,259,201912,7919
AT,AZ,2,261,201912,50481
AT,AZ,2,262,201912,412
AT,AZ,2,263,201912,2040
AT,AZ,2,265,201912,49050
AT,AZ,2,267,201912,17003
AT,AZ,2,271,201912,261910
AT,AZ,2,273,201912,64706
AT,AZ,2,274,201912,6670
AT,AZ,2,279,201912,5682
AT,AZ,2,281,201912,62512
AT,AZ,2,282,201912,38556
AT,AZ,2,289,201912,53298
AT,AZ,2,291,201912,5200
AT,AZ,2,310,201912,2561
AT,AZ,2,325,201912,2000
AT,AZ,2,329,201912,27866
AT,BA,1,022,201912,149493
AT,BA,1,089,201912,10780
AT,BA,1,103,201912,345413
AT,BA,1,104,201912,159299
AT,BA,1,105,201912,27462
AT,BA,1,106,201912,22256
AT,BA,1,107,201912,44462
AT,BA,1,108,201912,89438
AT,BA,1,110,201912,6948
AT,BA,1,131,201912,796
AT,BA,1,132,201912,21099
AT,BA,1,139,201912,313216
AT,BA,1,141,201912,1032631
AT,BA,1,151,201912,111493
AT,BA,1,152,201912,2153958
AT,BA,1,161,201912,718366
AT,BA,1,162,201912,894543
AT,BA,1,171,201912,2199
AT,BA,1,172,201912,29630
AT,BA,1,191,201912,23037
AT,BA,1,201,201912,1890562
AT,BA,1,203,201912,663
AT,BA,1,204,201912,1428
AT,BA,1,205,201912,9587
AT,BA,1,221,201912,78449
AT,BA,1,222,201912,2908168
AT,BA,1,231,201912,246875
AT,BA,1,233,201912,13391
AT,BA,1,234,201912,4596
AT,BA,1,236,201912,16441
AT,BA,1,237,201912,38673
AT,BA,1,239,201912,5510
AT,BA,1,241,201912,182748
AT,BA,1,242,201912,146159
AT,BA,1,243,201912,1295
AT,BA,1,244,201912,337008
AT,BA,1,245,201912,378
AT,BA,1,251,201912,3349831
AT,BA,1,252,201912,498827
AT,BA,1,257,201912,371979
AT,BA,1,259,201912,2251125
AT,BA,1,261,201912,242222
AT,BA,1,262,201912,29490
AT,BA,1,263,201912,1505
AT,BA,1,264,201912,1274
AT,BA,1,265,201912,484265
AT,BA,1,271,201912,7197202
AT,BA,1,272,201912,11841
AT,BA,1,273,201912,2905610
AT,BA,1,274,201912,97275
AT,BA,1,275,201912,47381
AT,BA,1,279,201912,858747
AT,BA,1,281,201912,1707679
AT,BA,1,282,201912,819231
AT,BA,1,284,201912,1052200
AT,BA,1,289,201912,900649
AT,BA,1,291,201912,14160
AT,BA,1,293,201912,3394470
AT,BA,1,301,201912,30121
AT,BA,1,302,201912,248512
AT,BA,1,303,201912,89229
AT,BA,1,309,201912,203295
AT,BA,1,310,201912,2401349
AT,BA,1,321,201912,175
AT,BA,1,323,201912,366648
AT,BA,1,324,201912,581692
AT,BA,1,329,201912,41057
AT,BA,2,011,201912,30300
AT,BA,2,012,201912,27095
AT,BA,2,013,201912,8110
AT,BA,2,014,201912,230400
AT,BA,2,023,201912,6
AT,BA,2,081,201912,5206
AT,BA,2,101,201912,1153193
AT,BA,2,103,201912,82237
AT,BA,2,104,201912,2346
AT,BA,2,105,201912,133326
AT,BA,2,106,201912,50516
AT,BA,2,107,201912,59319
AT,BA,2,108,201912,590440
AT,BA,2,109,201912,181027
AT,BA,2,10S,201912,86
AT,BA,2,110,201912,391274
AT,BA,2,131,201912,11367
AT,BA,2,132,201912,280672
AT,BA,2,139,201912,283264
AT,BA,2,141,201912,101366
AT,BA,2,143,201912,284
AT,BA,2,151,201912,3341007
AT,BA,2,152,201912,251159
AT,BA,2,161,201912,123356
AT,BA,2,162,201912,802136
AT,BA,2,171,201912,571514
AT,BA,2,172,201912,360340
AT,BA,2,17S,201912,38012
AT,BA,2,192,201912,218468
AT,BA,2,201,201912,1231225
AT,BA,2,202,201912,19659
AT,BA,2,203,201912,224086
AT,BA,2,204,201912,100900
AT,BA,2,205,201912,405399
AT,BA,2,206,201912,196
AT,BA,2,20S,201912,4702
AT,BA,2,211,201912,6683
AT,BA,2,212,201912,1028854
AT,BA,2,221,201912,574655
AT,BA,2,222,201912,1793510
AT,BA,2,231,201912,168136
AT,BA,2,232,201912,212645
AT,BA,2,233,201912,61943
AT,BA,2,234,201912,34637
AT,BA,2,235,201912,1493
AT,BA,2,236,201912,110025
AT,BA,2,239,201912,122015
AT,BA,2,241,201912,695819
AT,BA,2,242,201912,451628
AT,BA,2,243,201912,205500
AT,BA,2,244,201912,1085384
AT,BA,2,245,201912,217
AT,BA,2,251,201912,278278
AT,BA,2,252,201912,24250
AT,BA,2,254,201912,45139
AT,BA,2,257,201912,831601
AT,BA,2,259,201912,2219182
AT,BA,2,25S,201912,26823
AT,BA,2,261,201912,316074
AT,BA,2,262,201912,123503
AT,BA,2,263,201912,202090
AT,BA,2,264,201912,12099
AT,BA,2,265,201912,321290
AT,BA,2,266,201912,75973
AT,BA,2,267,201912,136561
AT,BA,2,271,201912,3120336
AT,BA,2,272,201912,92701
AT,BA,2,273,201912,1241635
AT,BA,2,274,201912,265708
AT,BA,2,275,201912,70733
AT,BA,2,279,201912,574877
AT,BA,2,281,201912,595558
AT,BA,2,282,201912,1082350
AT,BA,2,283,201912,1810
AT,BA,2,284,201912,884198
AT,BA,2,289,201912,399447
AT,BA,2,291,201912,821880
AT,BA,2,292,201912,31688
AT,BA,2,293,201912,277096
AT,BA,2,302,201912,87
AT,BA,2,309,201912,16918
AT,BA,2,310,201912,73892
AT,BA,2,321,201912,40538
AT,BA,2,323,201912,9843
AT,BA,2,324,201912,1175028
AT,BA,2,325,201912,59684
AT,BA,2,329,201912,146190
AT,BD,1,139,201912,199999
AT,BD,1,141,201912,14827532
AT,BD,1,143,201912,1470056
AT,BD,1,151,201912,1881
AT,BD,1,222,201912,194540
AT,BD,1,234,201912,7777
AT,BD,2,139,201912,5695
AT,BD,2,201,201912,5830
AT,BD,2,205,201912,60236
AT,BD,2,212,201912,14837
AT,BD,2,221,201912,33561
AT,BD,2,222,201912,1477
AT,BD,2,241,201912,1267
AT,BD,2,242,201912,216
AT,BD,2,257,201912,1425
AT,BD,2,259,201912,452
AT,BD,2,262,201912,24865
AT,BD,2,265,201912,656030
AT,BD,2,266,201912,20529
AT,BD,2,267,201912,5492
AT,BD,2,271,201912,25887
AT,BD,2,273,201912,6567
AT,BD,2,274,201912,4339
AT,BD,2,279,201912,10383
AT,BD,2,281,201912,178928
AT,BD,2,282,201912,342576
AT,BD,2,289,201912,1109083
AT,BD,2,329,201912,62196
AT,BE,1,011,201912,537793
AT,BE,1,012,201912,4120865
AT,BE,1,013,201912,217075
AT,BE,1,014,201912,129527
AT,BE,1,023,201912,891
AT,BE,1,030,201912,11505
AT,BE,1,081,201912,121707
AT,BE,1,089,201912,286844
AT,BE,1,101,201912,1782689
AT,BE,1,102,201912,509798
AT,BE,1,103,201912,3606682
AT,BE,1,104,201912,1101464
AT,BE,1,105,201912,1556475
AT,BE,1,106,201912,1207182
AT,BE,1,107,201912,1104229
AT,BE,1,108,201912,6640693
AT,BE,1,109,201912,376144
AT,BE,1,110,201912,2193917
AT,BE,1,120,201912,2801
AT,BE,1,131,201912,29425
AT,BE,1,132,201912,873424
AT,BE,1,139,201912,2345772
AT,BE,1,141,201912,4924604
AT,BE,1,142,201912,1694
AT,BE,1,143,201912,852775
AT,BE,1,151,201912,1454831
AT,BE,1,152,201912,1839332
AT,BE,1,161,201912,215234
AT,BE,1,162,201912,786781
AT,BE,1,171,201912,957012
AT,BE,1,172,201912,437626
AT,BE,1,181,201912,26425
AT,BE,1,192,201912,1633721
AT,BE,1,201,201912,30380875
AT,BE,1,202,201912,396662
AT,BE,1,203,201912,1402775
AT,BE,1,204,201912,1841351
AT,BE,1,205,201912,3971252
AT,BE,1,206,201912,1168020
AT,BE,1,211,201912,201011
AT,BE,1,212,201912,26415424
AT,BE,1,221,201912,1511538
AT,BE,1,222,201912,7098455
AT,BE,1,231,201912,711997
AT,BE,1,233,201912,1701
AT,BE,1,234,201912,175656
AT,BE,1,236,201912,26484
AT,BE,1,239,201912,201134
AT,BE,1,241,201912,1329940
AT,BE,1,242,201912,272864
AT,BE,1,243,201912,88215
AT,BE,1,244,201912,9899662
AT,BE,1,245,201912,2086
AT,BE,1,251,201912,864244
AT,BE,1,252,201912,138056
AT,BE,1,254,201912,49091
AT,BE,1,257,201912,1272904
AT,BE,1,259,201912,7449807
AT,BE,1,261,201912,3643802
AT,BE,1,262,201912,2879022
AT,BE,1,263,201912,562563
AT,BE,1,264,201912,2271298
AT,BE,1,265,201912,2460410
AT,BE,1,266,201912,1109886
AT,BE,1,267,201912,949492
AT,BE,1,268,201912,24711
AT,BE,1,271,201912,1433368
AT,BE,1,272,201912,1858647
AT,BE,1,273,201912,1020688
AT,BE,1,274,201912,481256
AT,BE,1,275,201912,715190
AT,BE,1,279,201912,1089552
AT,BE,1,281,201912,6227720
AT,BE,1,282,201912,6775605
AT,BE,1,283,201912,1024302
AT,BE,1,284,201912,1353473
AT,BE,1,289,201912,2268585
AT,BE,1,291,201912,46436148
AT,BE,1,292,201912,162007
AT,BE,1,293,201912,15992577
AT,BE,1,302,201912,396178
AT,BE,1,303,201912,6837
AT,BE,1,309,201912,932690
AT,BE,1,310,201912,838810
AT,BE,1,321,201912,956377
AT,BE,1,322,201912,86986
AT,BE,1,323,201912,649535
AT,BE,1,324,201912,562136
AT,BE,1,325,201912,12040839
AT,BE,1,329,201912,242219
AT,BE,2,011,201912,408665
AT,BE,2,012,201912,10162
AT,BE,2,013,201912,30452
AT,BE,2,030,201912,6
AT,BE,2,081,201912,23102
AT,BE,2,089,201912,569422
AT,BE,2,101,201912,524932
AT,BE,2,103,201912,1274407
AT,BE,2,104,201912,268008
AT,BE,2,105,201912,570229
AT,BE,2,106,201912,180341
AT,BE,2,107,201912,829250
AT,BE,2,108,201912,1938062
AT,BE,2,109,201912,263693
AT,BE,2,10S,201912,326483
AT,BE,2,110,201912,11933580
AT,BE,2,131,201912,269945
AT,BE,2,132,201912,583481
AT,BE,2,139,201912,662192
AT,BE,2,141,201912,620748
AT,BE,2,142,201912,6444
AT,BE,2,143,201912,213491
AT,BE,2,151,201912,112909
AT,BE,2,152,201912,394523
AT,BE,2,161,201912,342823
AT,BE,2,162,201912,1430910
AT,BE,2,171,201912,7822242
AT,BE,2,172,201912,510613
AT,BE,2,17S,201912,2344
AT,BE,2,192,201912,60830
AT,BE,2,201,201912,6926325
AT,BE,2,202,201912,934399
AT,BE,2,203,201912,1406132
AT,BE,2,204,201912,648970
AT,BE,2,205,201912,2980730
AT,BE,2,206,201912,114533
AT,BE,2,20S,201912,63392
AT,BE,2,211,201912,2055478
AT,BE,2,212,201912,12410766
AT,BE,2,221,201912,400645
AT,BE,2,222,201912,4983971
AT,BE,2,231,201912,370150
AT,BE,2,232,201912,426307
AT,BE,2,234,201912,65809
AT,BE,2,236,201912,103052
AT,BE,2,237,201912,449
AT,BE,2,239,201912,369167
AT,BE,2,241,201912,1902425
AT,BE,2,242,201912,211362
AT,BE,2,243,201912,348206
AT,BE,2,244,201912,10860349
AT,BE,2,245,201912,482281
AT,BE,2,251,201912,1061704
AT,BE,2,252,201912,637814
AT,BE,2,253,201912,5571
AT,BE,2,254,201912,60629
AT,BE,2,257,201912,3588299
AT,BE,2,259,201912,2057328
AT,BE,2,25S,201912,48263
AT,BE,2,261,201912,456552
AT,BE,2,262,201912,2875890
AT,BE,2,263,201912,1338718
AT,BE,2,264,201912,686696
AT,BE,2,265,201912,1529689
AT,BE,2,266,201912,396218
AT,BE,2,267,201912,533657
AT,BE,2,268,201912,95608
AT,BE,2,271,201912,2053926
AT,BE,2,272,201912,146777
AT,BE,2,273,201912,570600
AT,BE,2,274,201912,2086643
AT,BE,2,275,201912,586144
AT,BE,2,279,201912,4503942
AT,BE,2,281,201912,4953175
AT,BE,2,282,201912,7580931
AT,BE,2,283,201912,4084725
AT,BE,2,284,201912,1876723
AT,BE,2,289,201912,8106175
AT,BE,2,291,201912,46196365
AT,BE,2,292,201912,193322
AT,BE,2,293,201912,1819635
